Review Text,Sentiment Score,Sentiment,sentiment_strength
course states tons info obvious mean tons one point instructor says class review test would good idea attend another point colleague says get lot intellectual stimulation smart peers talk also say brain work better exercise get good nights sleep serious advice could obvious course filled obvious statements like making much longer needs seriously could cut half two thirds also tell names different chemicals brain helps learn better dont know good pieces advice shame listen many lectures hear could cut obvious stuff got point much quicker,0.42,Neutral,Weak
ive learned ton course encouraged look techniques ive already known fresh perspective one caveat though feel course couldve slightly practical possibly actionable tasks included practice deliberate practice minutes project choice journal moreover feel didnt cover memory palaces well enough believe great tool memorization anyone interested id recommend look httpsmullenmemorycom way ive discovered following nelson dellis interviewed lhtl course sum highly recommend course anyone interested learning efficiently people follow later scott h young httpswwwscotthyoungcom nelson dellis httpswwwyoutubecomuserpunknellisplaylists alex mullen httpsmullenmemorycom surprisingly included course possibly due production date,0.39,Neutral,Weak
often tell others greatest lesson learned going college learning learn best yet reflect undergraduate career graduated occurs didnt truly reach potential learner flawed learning techniques gleaned high school stayed college years crammed nightly exams took cursory looks homework sets answer key convinced knew topic rather admit letting procrastination get control life convinced work well little pressure simply didnt time go review sessionsattend office hoursreview worketc may able graduate decent grades certainly couldnt recall memory majority work ive left feeling like ive failed like didnt truly achieve potential learner would today sometimes muse applied gave learning cant play woe game anymore may taken advantage learning opportunities time certainly better going forward taking dr oakleys course supplemented reading book mind numbers changed life altered perspective learning memory given insight brains learn best maximize success efficiency comes learning give idea impact dr oakleys insight life originally borrowed book mind numbers local library finished immediately bought copy personal collection part hand friends family ask read importantly bought book serve reference years come may need remind best tips methods learning course taught learn something took granted formative educational years cant wait see end future im armed tools techniques resources need succeed,0.45,Positive,Weak
extremely boring doesnt provide anything really practical conceptsthat really basic could fit pages instead wasted time enormous amount videos real reason waste time cant understand course surrounded hype one gets waste time,0.03,Negative,Weak
great course took since popular mooc coursera started using techniques effective highly recommended matter,0.92,Positive,Strong
dont write reviews much brieftaking time course best investment life wonderful helpful useful insightful full everything desired,0.96,Positive,Strong
specially like optional interviews learning case studies quite insightful might find something relate might help grand scheme things,0.76,Positive,Strong
amazing class makes professional life easy well personal life everybody take class also teachers brilliant subjects see class,0.73,Positive,Strong
effective learner result course also surprisingly increased enjoyment learning thanks barbara terry well presented informative production,0.86,Positive,Strong
course eyeopening learned many great techniques immediately incorporate daily life thank much creators course invaluable information,0.69,Positive,Strong
first mooc accomplish even busiest days im motivated learn lessons taught like teacher class format small videos always repeating concepts,0.15,Neutral,Weak
wonderful journey learning learn simple effective wish come across something like little early life better late never keep good work thanks,0.56,Positive,Strong
enjoyed course much learned lot become better learner course interesting useful tools use optimize learning potential,0.62,Positive,Strong
course enjoyed gave good insight learning methodologies often heard given due importance also brain facts cool course,0.66,Positive,Strong
found course incredibly useful practical helped better understand process learning also given valuable tools optimize learning process,0.72,Positive,Strong
really appreciate time guys invested course willing take reexplain topics order refresh things time havent stayed mind,0.48,Positive,Weak
good didnt learn anything boring quite frankly dont know learn already free course going help need professional course bad,0.01,Negative,Weak
good teachers frankly videos look outdated basic talk lot concepts nothing apply supposed elarn would interesting see someone studying learning applying stated frankly dont understand hype around course found boring,0.1,Negative,Weak
amazing course learned lot new techniques self motivation effecient learning feel confident take steps improving developing thank much,0.66,Positive,Strong
course first one took coursera im glad part barbara terry great teachers whose videos delight listen given tons tricks apply studying doubt come handy thank,0.92,Positive,Strong
course awesome gave new look brain works actually take breaks probably get frustrated excited put learned practice,0.38,Neutral,Weak
amazing course design flow videos help gain understanding content seamless manner learning highly engaging simplicity concept clarity ideas provided right beginning course regular assessments options study additional content makes learning fun exciting best part course one apply learnings course anything everything learning wish learn must course anyone wants keep learning journey life,0.65,Positive,Strong
course provides soft skills needed continuous improvements enhance learning capabilities covers conceptual practical approach learn effectively efficiently thank,0.65,Positive,Strong
finished course cant understand everyone giving high rating every advice course easily fit one mins video honestly learned far simply looking learning techniques youtube several years ago think find even information thought course could learn something new interesting beyond measurement boring came point made quiz without looking video reading text pretty obvious right answer need bore timewasting videos texts sum things course everyone learn better avoiding procrastination focusing short period time rewarding good results basic stuff like training good sleep go whole course content one sentence save time certificate money really dont know would pay crap worthy waste resources course,0.38,Neutral,Weak
course great actually already know technics concepts went course course great job explaining really sticks,0.79,Positive,Strong
class really focused process learning taught much even shared ideas college high school student surprised concepts helpful also,0.39,Neutral,Weak
course accumulates clear valuable set thoughts structure knowledge learning principles tactics also interesting know new things brain works,0.51,Positive,Strong
really useful insights provided course price put valuable resource beyond anything valuable thank much making course god bless everyone,0.51,Positive,Strong
general course superficial handful useful ideas learning general physical exercise pomodoro battling procrastination analogies interleaved testing recall spaced repetition probably taken one teachers ted talkanother negative focus clearly highschool students early college final section especially simply passing exams never questions whether exams actually effective relevant learning finally testing course goes ideas taught questions multipleanswer often repeating videos word word relying superficial cues finding correct answer rather actually knowing material questions also order appear videos exactly theyve advised videos many possible answers also obviously wrong making extremely easy distinguish correct answers based irrelevant informationits completely worthless course taken small start opinion extra materials interviews especially good least giving people paths follow depending specific interests,0.23,Neutral,Weak
following course fun started enjoy learn properlyright way fun playful thanks lot course prof oakley prof sejnowski coursera,0.49,Positive,Weak
course tells use timer studying without tv avoid procrastination also stresses review learning isnt anything new course discusses diffuse focused modes diffuse modes described important focused modes running day dreaming sleep help enter diffuse modes integrate focused learning save time skip course,0.54,Positive,Strong
course helped lot realizing missing real mistake ive ever made fixing cognition learning gave better chance study retain ever,0.39,Neutral,Weak
